"work_id","name","artist_id","style","museum_id"
"114787","The Floor Scrapers","829","Impressionism","49"
"119190","Santa Maria Della Salute","561","Rococo",""
"119203","Venice, A View of the Churches of the Redentore and San Giacomo","561","Rococo",""
"119220","The Bucintoro Returning to the Molo on Ascension Day","561","Rococo",""
"119229","Venice, The Grand Canal with S. Simeone Piccolo","561","Rococo","47"
"119238","The Canal Grande","561","Rococo","47"
"119247","The Thames from Somerset House Terrace","561","Rococo",""
"119256","Warwick Castle County Record Office","561","Rococo","47"
"119265","Vienna, Dominican Church","561","Rococo",""
"119277","View of the Riva degli Schiavoni, Venice","561","Rococo","47"
